,judul,abstrak,kbk,judul_tokens,abstrak_tokens,stopword_count_judul,stopword_count_abstrak
2072,implementasi business intelligence pada visualisasi performa user dalam concept mapping,concept map adalah suatu representasi grafis dari ide atau masalah yang digambarkan dalam bentuk proposisi konsep tunggal yang dihubungkan dengan proposisi lain yang berkategori sama concept map dalam dunia pendidikan seringkali digunakan sebagai alat ukur untuk mengetahui pemahaman peserta didik setelah dilaksanakannya kegiatan belajar mengajar kbm dalam pembuatan concept map banyak sekali informasi yang dapat digali untuk meningkatkan kualitas dari concept map itu sendiri dan salah satunya ialah performa peserta didik dalam menyusun proposisi pada concept map penelitian ini disusun dengan fokus kepada analisis dari visualisasi performa user peserta didik dalam kecepatan pembuatan proposisi pada concept map metode yang akan digunakan pada penelitian ini adalah business intelligence yang memiliki tahapan yakni data source extract transform loading etl data warehouse data model dan information dashboard business intelligence bi mampu digunakan dalam pengolahan data menjadi sebuah informasi yang komprehensif dan akurat sehingga cocok dipakai sebagai tolak ukur dalam pengambilan keputusan,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),implementasi business intelligence visualisasi performa user concept mapping,concept map representasi grafis ide gambar bentuk proposisi konsep tunggal hubung proposisi kategori concept map dunia didik seringkali alat ukur paham serta didik laksana giat ajar ajar kbm buat concept map informasi gali tingkat kualitas concept map salah satu performa serta didik susun proposisi concept map teliti susun fokus analisis visualisasi performa user serta didik cepat buat proposisi concept map metode teliti business intelligence milik tahap data source extract transform loading etl data warehouse data model information dashboard business intelligence bi olah data informasi komprehensif akurat cocok pakai tolak ukur ambil putus,2,56
2073,teknik preprocessing dan feature extraction pada koleksi data log aktivitas concept map,concept map merupakan representasi grafis dari ide masalah pada individu yang membentuk sebuah proposisi concept map dapat membantu proses pembelajaran dengan adanya ilustrasi grafis konkret yang mengindikasikan bagaimana sebuah konsep tunggal satu proposisi dihubungkan ke konsep konsep lain pada kategori yang sama prosedur concept map dapat disimpan ke dalam suatu log aktivitas yang berisi kumpulan rekaman data berdasarkan waktu tertentu tingginya aktivitas concept mapping dan dilakukan secara luas dapat membentuk koleksi data besar pembelajaran untuk dapat mengolah data log concept mapping dengan baik diperlukan tindakan pemrosesan awal yang efektif dan efisien penelitian ini bertujuan untuk mereduksi data log aktivitas concept map agar mendapatkan dataset yang reliabel bebas noise penelitian ini diawali dengan proses preprocessing data yang merupakan teknik awal data mining untuk mengubah data mentah menjadi informasi yang lebih bersih dan bisa digunakan untuk pengolahan selanjutnya data preprocessing dapat dilakukan dengan metode data reduction atau disebut juga dengan penambahan filter example untuk mengobservasi data yang hilang pada suatu atribut dengan menghilangkan data observasi yang missing untuk mencari nilai nilai fitur yang terkandung dalam dokumen pada proses data mining diperlukannya feature extraction yang berperan sangat penting dalam pengolahan penentuan keberhasilan proses data mining algoritma pca principal component analysis digunakan untuk menormalisasi data supaya data menjadi stabil tidak terlalu tinggi maupun rendah,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),teknik preprocessing feature extraction koleksi data log aktivitas concept map,concept map representasi grafis ide individu bentuk proposisi concept map bantu proses ajar ilustrasi grafis konkret indikasi konsep tunggal proposisi hubung konsep konsep kategori prosedur concept map simpan log aktivitas isi kumpul rekam data dasar tinggi aktivitas concept mapping luas bentuk koleksi data ajar olah data log concept mapping tindak pemrosesan efektif efisien teliti tuju reduksi data log aktivitas concept map dataset reliabel bebas noise teliti awal proses preprocessing data teknik data mining ubah data mentah informasi bersih olah data preprocessing metode data reduction tambah filter example observasi data hilang atribut hilang data observasi missing cari nilai nilai fitur kandung dokumen proses data mining feature extraction peran olah tentu hasil proses data mining algoritma pca principal component analysis normalisasi data data stabil rendah,2,87
2075,klasifikasi penyakit hepatitis c virus menggunakan support vector machine svm,hepatitis adalah penyakit peradangan pada hati terjadi karena adanya toxin yang ada pada hati penyakit ini dapat menyerang semua orang tak menutup orang yang memiliki kekebalan tubuh yang tinggi menurut who jenis penyakit hepatitis yang berbahaya adalah hepatitis c pada penyakit hepatitis c memiliki tiga tingkatan yaitu fibrosis atau berat dan sirosis atau kronis penularan hepatitis c hanya melalui darah yang terkontaminasi virus hepatitis c hcv atau berhubungan dengan orang yang terinfeksi hal tersebut berdasarkan penelitian ini bertujuan untuk membuat model yang dapat mengklasifikasikan penyakit hepatitis c klasifikasi terhadap penyakit hepatitis c dapat menggunakan teknologi machine learning yaitu metode support vector machine metode ini merupakan sistem pembelajaran yang menggunakan ruang hipotesis berupa fungsi fungsi linier didalam sebuah fitur yang berdimensi tinggi bertujuan untuk menemukan hyperplane terbaik yang memisahkan dua buah class pada input space dalam mengklasifikasikan dataset yang digunakan diambil dari uci machine learning repository memiliki atribut dan pada atribut kategori memiliki beberapa kelas klasifikasi yaitu blood donor suspect blood donor hepatitis fibrosis sirosis beberapa penelitian sebelumnya salah satunya adalah yang dilakukan oleh citra nurina prabiantissa terhadap klasifikasi dataset penyakit hati menggunakan support vector machine k nn dan naive bayes menunjukkan bahwa dari ketiga algoritma tersebut svm memiliki performa terbaik dengan rata rata pada penelitian tersebut dapat disimpulkan bahwa svm memiliki performa yang baik sehingga dapat digunakan untuk mengklasifikasikan penyakit hepatitis c,Game Technology and Machine Learning Applications,klasifikasi sakit hepatitis c virus support vector machine svm,hepatitis sakit adang hati toxin hati sakit serang orang tutup orang milik kebal tubuh jenis sakit hepatitis bahaya hepatitis c sakit hepatitis c milik tingkat fibrosis berat sirosis kronis tular hepatitis c darah kontaminasi virus hepatitis c hcv hubung orang infeksi dasar teliti tuju model klasifikasi sakit hepatitis c klasifikasi sakit hepatitis c teknologi machine learning metode support vector machine metode sistem ajar ruang hipotesis fungsi fungsi linier dalam fitur mens tuju temu hyperplane baik pisah buah class input space klasifikasi dataset ambil uci machine learning repository milik atribut atribut kategori milik kelas klasifikasi blood donor suspect blood donor hepatitis fibrosis sirosis teliti salah satu citra nurina prabiantissa klasifikasi dataset sakit hati support vector machine k nn naive bayes tiga algoritma svm milik performa baik teliti simpul svm milik performa klasifikasi sakit hepatitis c,1,88
2079,implementasi algoritma k means untuk pengelompokan struktur pengetahuan pada open ended concept map,concept map adalah gambaran dari ide atau masalah yang dibentuk konsep tunggal proposisi dan dikaitkan antar konsep yang sama open ended concept map merupakan concept map yang dibuat dari pemahaman individu sehingga tidak terdapat komponen tertentu open ended concept map pada bidang studi pendidikan sosial maupun organisasi digunakan sebagai instrumen untuk mengoleksi data dan menganalisa pengetahuan konseptual dari individu dalam penelitian ini akan menerapkan teknik data mining untuk mengolah dataset open ended concept map dengan tujuan mengelompokkan struktur pengetahuan penelitian ini menggunakan algoritma k means yang akan mengelompokkan struktur pengetahuan ke dalam beberapa kelompok data dalam satu kelompok mempunyai karakteristik yang sama dan mempunyai karakteristik yang berbeda dengan data yang berada dikelompok yang lain tahapan dari penelitian ini yaitu data selection preprocessing data mining k means clustering dan interpretation algoritma k means diharapkan dapat mengelompokkan struktur pengetahuan pada open ended concept map dengan baik,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),implementasi algoritma k means kelompok struktur tahu open ended concept map,concept map gambar ide bentuk konsep tunggal proposisi kait konsep open ended concept map concept map paham individu komponen open ended concept map bidang studi didik sosial organisasi instrumen koleksi data menganalisa tahu konseptual individu teliti terap teknik data mining olah dataset open ended concept map tuju kelompok struktur tahu teliti algoritma k means kelompok struktur tahu kelompok data kelompok karakteristik karakteristik beda data kelompok tahap teliti data selection preprocessing data mining k means clustering interpretation algoritma k means harap kelompok struktur tahu open ended concept map,2,57
2082,klasifikasi dialek bahasa jawa menggunakan metode k nearest neighbour k nn,indonesia merupakan negara dengan beragam suku dan budaya masing masing suku di indonesia memiliki ciri khas tersendiri dari segi bahasa bahasa jawa merupakan salah satu bahasa dengan penutur terbanyak di indonesia yang memiliki total macam dialek diantaranya adalah dialek jawatimuran dialek cirebon dialek osing dialek tagal dan dialek solo jogja seiring berjalannya waktu beberapa diantaranya kini diambang kepunahan salah satu upaya yang dapat dilakukan untuk menjaga kelestarian bahasa jawa adalah dengan melakukan penelitian terkait dialek pada penelitian ini dialek yang digunakan dibatasi menjadi tiga menurut persebaran wilayahnya yaitu jawa tengah jawa timur dan jawa barat dari hasil survey yang dilakukan membuktikan bahwa dialek yang populer untuk masing masing wilayah adalah dialek tegal dialek jawatimuran dan dialek cirebon penelitian ini menggunakan data latih dan data uji berupa kata dan kalimat yang didapatkan memalui sumber tertulis yang ada di internet data disimpan dalam format tertentu yang kemudian akan diolah menggunakan text classification dengan algoritma k nearest neighbour atau k nn algoritma k nn dipilih karena memiliki kemampuan pengelompokan yang baik dan efisien berdasarkan tetangga terdekat selanjutnya pada tahap validasi menggunakan fold cross validation untuk mengetahui performa dari algoritma dalam melakukan klasifikasi,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),klasifikasi dialek bahasa jawa metode k nearest neighbour k nn,indonesia negara agam suku budaya suku indonesia milik ciri khas sendiri segi bahasa bahasa jawa salah bahasa tutur indonesia milik total dialek dialek jawatimuran dialek cirebon dialek osing dialek tagal dialek solo jogja iring jalan ambang punah salah upaya jaga lestari bahasa jawa teliti kait dialek teliti dialek batas sebar wilayah jawa jawa timur jawa barat hasil survey bukti dialek populer wilayah dialek tegal dialek jawatimuran dialek cirebon teliti data latih data uji kalimat dapat palu sumber tulis internet data simpan format olah text classification algoritma k nearest neighbour k nn algoritma k nn pilih milik mampu kelompok efisien dasar tetangga dekat tahap validasi fold cross validation performa algoritma klasifikasi,1,79
2089,klasifikasi dialek bahasa jawa menggunakan metode decision tree c ,indonesia merupakan negara dengan kebudayaan yang sangat beragam tidak hanya kesenian dan maka khas namun bahasa juga merupakan produk budaya sekaligus identitas etnik di suatu negara menurut data dari peta bahasa kemdikbud terdapat sekitar bahasa daerah yang tersebar di seluruh indonesia wilayah pemakaian bahasa daerah yang sangat luas ini memunculkan berbagai varian bahasa atau dialek bahasa jawa adalah bahasa daerah yang paling banyak penuturnya tercatat sebanyak dialek di antaranya dialek jawa timuran dialek cirebon dan dialek tegal keberagaman bahasa tersebut akan menyulitkan seseorang dalam membedakannya secara manual oleh karena itu diperlukan sebuah sistem yang secara otomatis mengklasifikasikan tiap kata kalimat dari varian bahasa dengan text mining pada penelitian ini metode yang digunakan adalah decision tree c algoritma ini dipilih karena memiliki kelebihan dalam mengelola data multi dimensi dan tingkat akurasi yang cukup tinggi kemudian algoritma tersebut akan diujikan pada data berupa teks yang diambil dari internet sehingga dapat diketahui performanya dalam klasifikasi,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),klasifikasi dialek bahasa jawa metode decision tree c,indonesia negara budaya agam seni khas bahasa produk budaya identitas etnik negara data peta bahasa kemdikbud bahasa daerah sebar indonesia wilayah pakai bahasa daerah luas muncul varian bahasa dialek bahasa jawa bahasa daerah tutur catat dialek dialek jawa timur dialek cirebon dialek tegal agam bahasa sulit beda manual sistem otomatis klasifikasi kalimat varian bahasa text mining teliti metode decision tree c algoritma pilih milik lebih kelola data multi dimensi tingkat akurasi algoritma uji data teks ambil internet performa klasifikasi,1,73
2090,klasifikasi representasi pengetahuan pada extension concept mapping menggunakan algoritma c ,extension concept mapping adalah suatu teknik perluasan dari concept map dengan menambahkan proporsi baru dan mengintegrasikannya ke dalam peta yang telah ada sebelumnya untuk menghasilkan concept map tambahan additional map pendekatan ini telah terbukti meningkatkan kualitas representasi pengetahuan dan pemahaman peserta didik teknik open ended merupakan salah satu bentuk konstruksi concept map yang meminta pengguna untuk mengekspresikan pemahaman mereka tanpa adanya komponen dengan demikian teknik ini memungkinkan untuk megkap pengetahuan individu secara akurat bagaimana pun tantangan besar pada pendekatan open ended concept mapping adalah tahap evaluasi yang biasanya dilakukan secara manual oleh karena itu diperlukan sebuah solusi yang dapat mengungkap informasi informasi penting yang sulit diterjemahkan secara langsung penelitian ini bertujuan untuk mengklasifikasikan representasi pengetahuan pada open ended extension concept mapping dataset yang digunakan adalah open ended concept maps pada matakuliah basisdata melalui penerapan konsep data mining dalam mengolah dataset algoritma c digunakan untuk mengklasifikasikan representasi pengetahuan pada pembuatan extension concept mapping ke dalam kelas kelas yang sama algoritma c mampu mengelompokkan himpu pengetahuan dan memberikan informasi yang berharga,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),klasifikasi representasi tahu extension concept mapping algoritma c,extension concept mapping teknik luas concept map proporsi integrasi peta hasil concept map tambah additional map dekat bukti tingkat kualitas representasi tahu paham serta didik teknik open ended salah bentuk konstruksi concept map guna ekspresi paham komponen teknik megkap tahu individu akurat tantang dekat open ended concept mapping tahap evaluasi manual solusi ungkap informasi informasi sulit terjemah langsung teliti tuju klasifikasi representasi tahu open ended extension concept mapping dataset open ended concept maps matakuliah basisdata terap konsep data mining olah dataset algoritma c klasifikasi representasi tahu buat extension concept mapping kelas kelas algoritma c kelompok himpu tahu informasi harga,2,70
2114,perancangan aplikasi bookster sebagai sarana penulis buku digital berbasis android,di masa pandemi seperti saat ini permintaan pasar terhadap produsen buku semakin menurun buku buku cetak yang ada di pasaran mengalami penuru penjualan sehingga banyak produsen dan penulis buku yang mengalami penuru pendapatannya buku digital merupakan solusi yang dapat dijangkau oleh produsen buku untuk memasarkan bukunya buku digital di nilai lebih praktis dan efisiensi dalam penggunaanya karena bisa di akses oleh siapa saja kapan saja dan dimana saja maka dari itu penelitian ini berjudul perancangan aplikasi bookster sebagai sarana penulisan buku digital berbasis androidbertujuan untuk mempermudahkan produsen buku untuk memasarkan buku bukunya secara digital supaya dapat menjangkau konsumen yang lebih luas harapan dari penelitian ini adalah terciptanya sebuah aplikasi penulisan buku digital yang ditunjukan untuk para produsen buku agar produksi buku lebih meningkat pada era pandemi seperti sekarang ini,Teknologi Digital Cerdas (Ubiquitous Computing Technique),ancang aplikasi bookster sarana tulis buku digital bas android,pandemi minta pasar produsen buku turun buku buku cetak pasar alami penuru jual produsen tulis buku alami penuru dapat buku digital solusi jangkau produsen buku pasar buku buku digital nilai praktis efisiensi penggunaanya akses mana teliti judul ancang aplikasi bookster sarana tulis buku digital bas androidbertujuan mudah produsen buku pasar buku buku digital jangkau konsumen luas harap teliti cipta aplikasi tulis buku digital tunjuk produsen buku produksi buku tingkat era pandemi,1,58
2117,implementasi fitur interaksi tools reading book skill pada platform smart book berbasis websitedengan metode design sprint,platformpembuatan buku secara onlinesaat ini tidak jarang lagi untuk dijumpai kemudahan dalam membuat sebuah buku secara onlinemelalui platform digital tertentu hingga dapat dipublikasi sampai diperjualbelikan menjadi salah satu pertimbangan penulis lebih memilih menggunakan platform platformtersebut selain memudahkan penulis hal ini juga memudahkan masyarakat untuk membaca dan membeli buku tanpa perlu keluar rumah dengan memperhatikan minat baca di indonesia yang masih rendah menurut data unesco pengenalan budaya membaca sangat perlu diterapkan sejak dini salah satu cara untuk membuat ketertarikan dalam membaca buku adalah dengan membuat buku yang interaktif buku interaktif dapat menambah kefokusan keaktifan dan mengurangi kebosa pembaca namun sayangnya platform pembuatan buku saat ini tak jarang memiliki keterbatasan untuk membuat buku yang interaktif oleh karena itu diperlukan sebuah platformdigital pembuatan buku yang dapat mendukung penulis dalam berkreasi menciptakan buku yang interaktif selain itu juga memudahkan penulis untu menerbitkan dan memperjualbelikan buku ciptaannya secara online platform akan dikembangkan dengan basis web sehingga dapat diakses dari berbagai perangkat yang tersambung internet dengan menerapkan metode design sprint,Teknologi Digital Cerdas (Ubiquitous Computing Technique),implementasi fitur interaksi tools reading book skill platform smart book bas websitedengan metode design sprint,platformpembuatan buku onlinesaat jarang jumpa mudah buku onlinemelalui platform digital publikasi diperjualbelikan salah timbang tulis pilih platform platformtersebut mudah tulis mudah masyarakat baca beli buku rumah perhati minat baca indonesia rendah data unesco kenal budaya baca terap salah tari baca buku buku interaktif buku interaktif tambah fokus aktif kurang kebosa baca sayang platform buat buku jarang milik batas buku interaktif platformdigital buat buku dukung tulis kreasi cipta buku interaktif mudah tulis untu terbit memperjualbelikan buku cipta online platform kembang basis web akses perangkat sambung internet terap metode design sprint,1,75
2118,pengembangan platform digital book terintegrasi dengan marketplace berbasis design thinking,buku sebagai jendela dunia memiliki peran yang sangat penting dalam memajukan kualitas hidup masyarakat sebagai sumber ilmu pengetahuan buku juga merupakan acuan manusia dalam melakukan suatu hal peningkatan kualitas hidup dan pengetahuan dapat diwujudkan apabila masyarakat memiliki minat baca yang tinggi terhadap buku nyatanya berdasarkan survei yang dilakukan program for international students assessment pisa yang di rilis organization for economic co operation and development oecd tahun minat baca indonesia ada di peringkat dari negara hal ini dapat diartikan bahwa indonesia berada di urutan negara terbawah dengan minat baca yang rendah untuk meningkatkan minat baca masyarakat indonesia diperlukan sebuah inovasi perkembangan dunia digital yang sangat pesat saat ini bisa menjadi salah satu solusi untuk meningkatkan minat baca masyarakat indonesia salah satunya adalah dengan inovasi digital book di indonesia perlu dikembangkan platformdigital bookyang mendukung tampilan interaktif baik untuk penulis maupun pembaca inovasi platform digital bookyang dikembangkan diharapkan dapat mendukung dan meningkatkan minat baca masyarakat indonesia platform digital book dapat dimanfaatkan bagi para penulis buku untuk mempublikasikan karyanya dengan fitur fitur interaktif yang ada di dalam platform sedangkan untuk pembaca platform digital bookdapat dimanfaatkan untuk memperluas pengetahuan dan meningkatkan minat baca dengan tampilan buku yang interaktif platform digital book dikembangkan dalam bentuk websitedan menerapkan metode design thinkingagar mudah diakses dengan tampilan yang disesuaikan dengan kebutuhan pengguna,Teknologi Digital Cerdas (Ubiquitous Computing Technique),kembang platform digital book integrasi marketplace bas design thinking,buku jendela dunia milik peran maju kualitas hidup masyarakat sumber ilmu tahu buku acu manusia tingkat kualitas hidup tahu wujud masyarakat milik minat baca buku dasar survei program international students assessment pisa rilis organization economic co operation development oecd minat baca indonesia peringkat negara arti indonesia urut negara bawah minat baca rendah tingkat minat baca masyarakat indonesia inovasi kembang dunia digital pesat salah solusi tingkat minat baca masyarakat indonesia salah satu inovasi digital book indonesia kembang platformdigital bookyang dukung tampil interaktif tulis baca inovasi platform digital bookyang kembang harap dukung tingkat minat baca masyarakat indonesia platform digital book manfaat tulis buku publikasi karya fitur fitur interaktif platform baca platform digital bookdapat manfaat luas tahu tingkat minat baca tampil buku interaktif platform digital book kembang bentuk websitedan terap metode design thinkingagar mudah akses tampil sesuai butuh guna,1,77
2119,implementasi fitur interaksi media visual pada platform smart book writer berbasis website dengan metode design sprint,penelitian pada skripsi ini bertujuan untuk menciptakan sebuah fitur yang dapat membantu para penulis untuk membuat sebuah buku dengan hanya bermodalkan sebuah website sehingga para penulis tersebut tidak perlu khawatir terkait penyimpa untuk buku yang telah ditulis pada fitur ini juga memudahkan penulis untuk menulis hal itu disebabkan oleh adanya beberapa alat yang terdapat pada fitur tersebut yang dapat digunakan oleh penulis untuk mendapatkan hasil penulisan yang baik dan benar kemudian pada platform smart book writer ini terdapat beberapa interaksi yang dapat membantu dalam memperbagus kualitas dari buku yang telah ditulis rumusan masalah yang terdapat didalam penulisan skripsi ini yaitu apakah fitur interaksi media visual pada platform smart book writer ini dapat membantu penulis buku apakah alat alat yang terdapat pada platform smart book writer dapat memudahkan para penulis buku memperbagus hasil bukunya,Teknologi Digital Cerdas (Ubiquitous Computing Technique),implementasi fitur interaksi media visual platform smart book writer bas website metode design sprint,teliti skripsi tuju cipta fitur bantu tulis buku modal website tulis khawatir kait penyimpa buku tulis fitur mudah tulis tulis sebab alat fitur tulis hasil tulis platform smart book writer interaksi bantu bagus kualitas buku tulis rumus dalam tulis skripsi fitur interaksi media visual platform smart book writer bantu tulis buku alat alat platform smart book writer mudah tulis buku bagus hasil buku,2,70
2124,klasifikasi lagu daerah dan lagu nasional menggunakan metode k nn dengan pembobotan tf idf,lagu daerah merupakan lagu atau musik yang menggunakan bahasa daerah sebagai liriknya dan berasal dari suatu daerah kemudian menjadi populer dan menjadi lagu ikonik di daerah sedangkan lagu nasional adalah lagu yang menggunakan lirik bahasa indonesia yang isinya tentang aspek bangsa indonesia dan dikenal masyarakat secara nasional kekayaan budaya ini menjadi sebuah tantangan tersendiri untuk upaya pelestariannya kekhawatiran ini diperkuat dengan adanya klaim dari negara lain mengenai kebudayaan salah satunya pada tahun lagu daerah rasa sayang sayange diklaim oleh negara lain sebagai budayanya dengan kemajuan teknologi dan informasi pengenalan dan pelestarian kebudayaan dapat dilakukan salah satunya dengan cara pengklasifikasian lagu lagu daerah hal ini akan memudahkan dalam penentuan asal lagu berdasarkan daerahnya sebelum data dapat di klasifikasi data harus melalui proses preprocessing dan pembobotan preprocessing yang digunakan adalah pembersihan dokumen tokenizing filtering dan case folding metode pembobotan kata yang digunakan adalah term frequencyinverse document frequency tf idf dan menggunakan metode klasifikasi k nearest neighbor k nn knn merupakan pengklasifikasian sebuah objek berdasarkan data pembelajaran yang memiliki jarak terdekat dengan objeknya kategori yang digunakan adalah tipe dan asal daerah lagu diantaranya lagu nasional lagu daerah jawa timur lagu daerah jawa tengah dan lagu daerah daerah lainnya,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),klasifikasi lagu daerah lagu nasional metode k nn bobot tf idf,lagu daerah lagu musik bahasa daerah lirik asal daerah populer lagu ikonik daerah lagu nasional lagu lirik bahasa indonesia isi aspek bangsa indonesia kenal masyarakat nasional kaya budaya tantang sendiri upaya lestari khawatir kuat klaim negara budaya salah satu lagu daerah sayang sayange klaim negara budaya maju teknologi informasi kenal lestari budaya salah satu klasifikasi lagu lagu daerah mudah tentu lagu dasar daerah data klasifikasi data proses preprocessing bobot preprocessing bersih dokumen tokenizing filtering case folding metode bobot term frequencyinverse document frequency tf idf metode klasifikasi k nearest neighbor k nn knn klasifikasi objek dasar data ajar milik jarak dekat objek kategori tipe daerah lagu lagu nasional lagu daerah jawa timur lagu daerah jawa lagu daerah daerah,3,78
2125,klasifikasi lagu daerah dengan menggunakan algoritma naive bayes,lagu daerah merupakan salah satu karya seni budaya yang menunjukkan ekspresi yang berbeda di setiap daerah baik dari segi bahasa alat musik maupun nilai nilai yang terkandung dalam lagu itu sendiri kemajuan teknologi khususnya di bidang informasi akan memudahkan akses terhadap budaya asing dan membawa perubahan pada buday lokal selain itu minat masyarakat khususnya generasi muda enggan terhadap budaya lokal karena budaya lokal khususnya lagu daerah tidak tersedia dan sulit untuk di akses berdasarkan kumpulan lagu daerah yang diterbitkan oleh kemendikbud indonesia memiliki lagu daerah dari seluruh indonesia provinsi yang mewakili asal lagu daerah digunakan sebagai label dalam dataset data disediakan dengan metode pencarian literatur dari buku dan dokumen tertulis yang tersedia di internet metode yang digunakan dalam penelitian ini dalah klasifikasi teks klasifikasi lagu daerah akan dilakukan berdasarkan lirik data yang dihasilkan akan diolah dan dianalisis menggunakan algoritma naive bayes kelebihan dari algoritma naive bayes adalah proses komputasi yang cepat sederhana dan akurat pendekatan klasifikasi lagu daerah berdasarkan lirik dengan menggunakan metode tf idf untuk pembobotan kata dan multinomial naive bayes,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),klasifikasi lagu daerah algoritma naive bayes,lagu daerah salah karya seni budaya ekspresi beda daerah segi bahasa alat musik nilai nilai kandung lagu maju teknologi bidang informasi mudah akses budaya asing bawa ubah buday lokal minat masyarakat generasi muda enggan budaya lokal budaya lokal lagu daerah sedia sulit akses dasar kumpul lagu daerah terbit kemendikbud indonesia milik lagu daerah indonesia provinsi wakil lagu daerah label dataset data sedia metode cari literatur buku dokumen tulis sedia internet metode teliti dalah klasifikasi teks klasifikasi lagu daerah dasar lirik data hasil olah analis algoritma naive bayes lebih algoritma naive bayes proses komputasi cepat sederhana akurat dekat klasifikasi lagu daerah dasar lirik metode tf idf bobot multinomial naive bayes,2,63
2126,pengaruh variasi kernel terhadap akurasi pada klasifikasi asal lagu daerah menggunakan metodesupport vector machine svm,indonesia adalah bangsa yang memiliki berbagai kekayaan seni dan budaya salah satu bentuk karya seni yang dimiliki di setiap daerah adalah lagu semua daerah di indonesia memiliki lagu daerah dengan ciri khas masing masing indonesia juga memiliki lagu nasional yang menggunakan lirik bahasa indonesia yang berisi tentang persatuan di antara keberagaman yang ada di indonesia berdasarkan buku lagu daerah yang dikeluarkan oleh kemdikbud indonesia memiliki lagu daerah dari seluruh indonesia lagu daerah yang bermacam ragam dan cirinya maka akan menyulitkan untuk mengetahui asal lagu daerah tersebut dari masalah tersebut penelitian ini mencoba untuk menemukan solusi menentukan asal lagu daerah menggunakan metode support vector machine jumlah data yang digunakan pada penelitian ini berjumlah dataset yang dikumpulkan dari berbagai macam sumber dataset tersebut berisi lagu daerah dari seluruh daerah di indonesia dan lagu nasional yang selanjutnya akan diklasifikasikan berdasarkan asal daerah yang berjumlah asal daerah dan lagu nasional dalam penelitian ini digunakan metode support vector machine svm svm adalah metode yang dapat digunakan untuk melakukan klasifikasi menggunakan konsep hyperplane yang dapat memisahkan data menurut class nya sebelum dilakukan klasifikasi terlebih dahulu dilakukan proses preprocessing dan pembobotan preprocessing yang digunakan adalah pembersihan dokumen tokenizing filtering dan case folding pembobotan kata menggunakan metode term frequency inverse document frequency tf idf kernel trick digunakan untuk mentransformasi data ke dimensi yang lebih tinggi menggunakan kernel function kernel yang digunakan yaitu linear polynomial radial basis function rbf dan sigmoid hasil dari pengujian ini menunjukkan bahwa metode svm menggunakan kernel function sigmoid memiliki akurasi ,Rekayasa pengetahuan dan ilmu data (Knowledge Engineering and Data Science),pengaruh variasi kernel akurasi klasifikasi lagu daerah metodesupport vector machine svm,indonesia bangsa milik kaya seni budaya salah bentuk karya seni milik daerah lagu daerah indonesia milik lagu daerah ciri khas indonesia milik lagu nasional lirik bahasa indonesia isi satu agam indonesia dasar buku lagu daerah keluar kemdikbud indonesia milik lagu daerah indonesia lagu daerah ragam ciri sulit lagu daerah teliti coba temu solusi tentu lagu daerah metode support vector machine data teliti dataset kumpul sumber dataset isi lagu daerah daerah indonesia lagu nasional klasifikasi dasar daerah daerah lagu nasional teliti metode support vector machine svm svm metode klasifikasi konsep hyperplane pisah data class nya klasifikasi proses preprocessing bobot preprocessing bersih dokumen tokenizing filtering case folding bobot metode term frequency inverse document frequency tf idf kernel trick transformasi data dimensi kernel function kernel linear polynomial radial basis function rbf sigmoid hasil uji metode svm kernel function sigmoid milik akurasi,4,108
